"","Post","Entity","Position","Type","message"
"2067","263","past year","159","Date","""Our #UWaterlooCommunity has demonstrated so much resilience during the past year. We have much to be proud of. I hope this video sparks good memories of the past year and I wish you health, happiness and light for 2022."" - 
@UWaterlooPres https://t.co/p4lyNPOuea"
"2068","263","2022","216","Date","""Our #UWaterlooCommunity has demonstrated so much resilience during the past year. We have much to be proud of. I hope this video sparks good memories of the past year and I wish you health, happiness and light for 2022."" - 
@UWaterlooPres https://t.co/p4lyNPOuea"
"2069","2630","Graduate Town Hall","199","Organization","""We have a team that supports international co-op efforts and continue to support students with work terms all over the world,"" said @norahmcrae, Associate Provost @HireWaterloo, during our Virtual Graduate Town Hall. #UWaterloo @WaterlooINT"
"2070","2630","Associate Provost","147","Person","""We have a team that supports international co-op efforts and continue to support students with work terms all over the world,"" said @norahmcrae, Associate Provost @HireWaterloo, during our Virtual Graduate Town Hall. #UWaterloo @WaterlooINT"
"2071","2632","Angelica Sanchez","158","Person","Being a #UWaterloo co-op student means figuring out how to live a healthy, balanced life, especially while working remotely. ??

In this vlog, co-op student Angelica Sanchez vlog explores ways to maintain her personal wellness. ???? #workfromhome #uwaterloocoop @HireWaterloo https://t.co/7cMWGj9IV0"
"2072","2633","://t.co/0s9rq96TrL","84","Date","RT @WlooWarriors : Throwing it down (Warrior) field! #TopWarriorPhotos ?????? https://t.co/0s9rq96TrL"
"2073","2635","://t.co/wC2CD7k0C4","220","Date","When schools closed down due to the coronavirus pandemic, parents, teachers and students across Canada turned to the @uWaterloo_CEMC website, increasing engagement with its courseware by 200 per cent. 

Read more: https://t.co/wC2CD7k0C4 #UWaterloo https://t.co/kJlNw7X4Jy"
"2074","2635","Canada","97","Location","When schools closed down due to the coronavirus pandemic, parents, teachers and students across Canada turned to the @uWaterloo_CEMC website, increasing engagement with its courseware by 200 per cent. 

Read more: https://t.co/wC2CD7k0C4 #UWaterloo https://t.co/kJlNw7X4Jy"
"2075","2636","Donna Strickland","23","Person","RT @ONtrainandstudy : Donna Strickland, a @UWaterloo professor helped revolutionize laser physics and won a Noble Prize in her field in 2018.

Her contributions allow billions of people to make daily use of laser printers, optical scanners, and laser surgery!  #MadeinOntario #Ontario #InventorsWeek https://t.co/TeD5P3sLo6"
"2076","2636","2018","137","Date","RT @ONtrainandstudy : Donna Strickland, a @UWaterloo professor helped revolutionize laser physics and won a Noble Prize in her field in 2018.

Her contributions allow billions of people to make daily use of laser printers, optical scanners, and laser surgery!  #MadeinOntario #Ontario #InventorsWeek https://t.co/TeD5P3sLo6"
"2077","2636","Ontario","278","Location","RT @ONtrainandstudy : Donna Strickland, a @UWaterloo professor helped revolutionize laser physics and won a Noble Prize in her field in 2018.

Her contributions allow billions of people to make daily use of laser printers, optical scanners, and laser surgery!  #MadeinOntario #Ontario #InventorsWeek https://t.co/TeD5P3sLo6"
"2078","2637","Student Town Hall","124","Organization","Today is the day! @UWaterlooPres answers questions on #UWaterloo classes, campus access, research and more in our Graduate Student Town Hall. 

Join here: https://t.co/qhWvL9ZUV8 @UWaterlooGSPA https://t.co/ttADV2UlDT"
"2079","2637","Today","1","Date","Today is the day! @UWaterlooPres answers questions on #UWaterloo classes, campus access, research and more in our Graduate Student Town Hall. 

Join here: https://t.co/qhWvL9ZUV8 @UWaterlooGSPA https://t.co/ttADV2UlDT"
"2080","2638","Today","1","Date","Today is the day, #UWaterloo! Don't miss out on this lecture in partnership with the @KitchLibrary on the short and long-term social and developmental effects of the pandemic and more: https://t.co/8qBU6p5VG8 #UWaterlooCommunity https://t.co/UzJhalcTox"
"2081","2638","://t.co/8qBU6p5VG8","191","Date","Today is the day, #UWaterloo! Don't miss out on this lecture in partnership with the @KitchLibrary on the short and long-term social and developmental effects of the pandemic and more: https://t.co/8qBU6p5VG8 #UWaterlooCommunity https://t.co/UzJhalcTox"
"2082","2639","Sept 26","162","Date","RT @envwaterloo : Life in cities may be permanently changed by the impacts of COVID-19. From mass transit, to health, to development and social justice, join us Sept 26 for a riveting panel talk with experts from around the world.  
#UWaterlooAlumni #ENVTogether
Register! - https://t.co/n6qxFoYOxz https://t.co/dsK3uHRJNy"
"2083","264","University","82","Organization","As we head into the winter break, many #UWaterloo operations will be closed. The University will resume operations on Tuesday, January 4, 2022. 

More details: https://t.co/iSVCE5xpGF https://t.co/JOSeulOjtW"
"2084","264","winter","21","Date","As we head into the winter break, many #UWaterloo operations will be closed. The University will resume operations on Tuesday, January 4, 2022. 

More details: https://t.co/iSVCE5xpGF https://t.co/JOSeulOjtW"
"2085","264","Tuesday","119","Date","As we head into the winter break, many #UWaterloo operations will be closed. The University will resume operations on Tuesday, January 4, 2022. 

More details: https://t.co/iSVCE5xpGF https://t.co/JOSeulOjtW"
"2086","264","January 4","128","Date","As we head into the winter break, many #UWaterloo operations will be closed. The University will resume operations on Tuesday, January 4, 2022. 

More details: https://t.co/iSVCE5xpGF https://t.co/JOSeulOjtW"
"2087","2641","Town Hall","225","Organization","""We expect to have a robust orientation program – students can sign up for it now with your #UWaterloo credentials. Much of it will be virtual and there is no orientation fee this year"" says @ReadWaterloo during our Virtual Town Hall: https://t.co/K6fwGlrxZz @UWaterlooLife"
"2088","2641","this year","176","Date","""We expect to have a robust orientation program – students can sign up for it now with your #UWaterloo credentials. Much of it will be virtual and there is no orientation fee this year"" says @ReadWaterloo during our Virtual Town Hall: https://t.co/K6fwGlrxZz @UWaterlooLife"
"2089","2642","UWaterloo Safety Office","131","Organization","""Buildings that have classrooms in them will be available during class-time hours,"" says Kate Windsor, Director of Safety at the #UWaterloo Safety Office, during our Virtual Town Hall on the subject of in-person and online classes."
"2090","2642","Town Hall","175","Organization","""Buildings that have classrooms in them will be available during class-time hours,"" says Kate Windsor, Director of Safety at the #UWaterloo Safety Office, during our Virtual Town Hall on the subject of in-person and online classes."
"2091","2642","Kate Windsor","90","Person","""Buildings that have classrooms in them will be available during class-time hours,"" says Kate Windsor, Director of Safety at the #UWaterloo Safety Office, during our Virtual Town Hall on the subject of in-person and online classes."
"2092","2643","Town Hall","185","Organization","""These are not normal times, but we are so determined to present an engaged, high-quality campus and educational experience to all of our students."" says @UWaterlooPres in our Virtual Town Hall. 

Join here: https://t.co/KA8qhYFMlG #UWaterloo #UWaterlooPTH"
"2093","2644","next week","70","Date","RT @uwaterloohealth : Have questions about undergraduate Orientation next week? Tune in to today's #AHSTakeoverTuesday on Instagram with our AHS O-Team to learn more and to get your questions answered: https://t.co/lkUJbrqGJc #UWOW20 https://t.co/pWH2implTI"
"2094","2644","today","92","Date","RT @uwaterloohealth : Have questions about undergraduate Orientation next week? Tune in to today's #AHSTakeoverTuesday on Instagram with our AHS O-Team to learn more and to get your questions answered: https://t.co/lkUJbrqGJc #UWOW20 https://t.co/pWH2implTI"
"2095","2645","Student Town Hall","64","Organization","RT @UWaterlooPres : Be sure to tune into today's Undergraduate Student Town Hall at 1:30pm. I'll be providing a brief university update and answering questions that were pre-submitted and asked live through the chat. https://t.co/8f7NrY6kOo https://t.co/ulld172xK0"
"2096","2645","today","42","Date","RT @UWaterlooPres : Be sure to tune into today's Undergraduate Student Town Hall at 1:30pm. I'll be providing a brief university update and answering questions that were pre-submitted and asked live through the chat. https://t.co/8f7NrY6kOo https://t.co/ulld172xK0"
"2097","2645","://t.co/ulld172xK0","247","Date","RT @UWaterlooPres : Be sure to tune into today's Undergraduate Student Town Hall at 1:30pm. I'll be providing a brief university update and answering questions that were pre-submitted and asked live through the chat. https://t.co/8f7NrY6kOo https://t.co/ulld172xK0"
"2098","2646","2019","122","Date","RT @ONtrainandstudy : Mechanical engineering students from @UWaterloo created the Enhanced Mobility Wheelchair for their 2019 capstone project! 

This prototype provides users with the comfort and maneuverability of a traditional wheelchair while offering the speed of a hand-cycle. #InventorsWeek https://t.co/3iAIemgFoj"
"2099","2647","Student Town Hall","118","Organization","Today is the day! @UWaterlooPres answers questions on classes, campus access, research and more in our Undergraduate Student Town Hall. 

Join here: https://t.co/VHhgtep7DA #UWaterloo https://t.co/AP03GhuPNu"
"2100","2647","Today","1","Date","Today is the day! @UWaterlooPres answers questions on classes, campus access, research and more in our Undergraduate Student Town Hall. 

Join here: https://t.co/VHhgtep7DA #UWaterloo https://t.co/AP03GhuPNu"
"2101","2648","://t.co/PSC9G882SJ","144","Date","Researchers at #UWaterloo are developing a new method to decrease the likelihood of contracting HIV. 

Read more: https://t.co/SQjRQBborA https://t.co/PSC9G882SJ"
"2102","2649","Matthew Sullivan","48","Person","As a grad student in C&amp;O at @WaterlooMath, Matthew Sullivan found a passion for Ultimate Frisbee &amp; tackling the “Crossing Number Problem,” a longstanding mystery researchers have struggled to unravel since World War II. 

Read more: https://t.co/DPEoGlGswc #UWaterloo https://t.co/O8sUTQQ3hY"
"2103","265","2021","228","Date","#UWaterloo is proud to present our top ten stories from 2021: A year in review and a glimpse of what’s ahead. 

From the installation of @UWaterlooPres, to our world-leading research on COVID-19. 

Here are the highlights from 2021: https://t.co/0mkAMgS6MS https://t.co/Bn2h4fgNS0"
"2104","2651","Tomorrow","1","Date","Tomorrow marks the beginning of two student-focused President's Town Hall events  for #UWaterloo undergraduate and graduate students. If you have questions on classes, campus access, research, co-op and more, be sure to register today: https://t.co/3CYF394nMw @UWaterlooGSPA https://t.co/SLkRFwZr4P"
"2105","2651","today","230","Date","Tomorrow marks the beginning of two student-focused President's Town Hall events  for #UWaterloo undergraduate and graduate students. If you have questions on classes, campus access, research, co-op and more, be sure to register today: https://t.co/3CYF394nMw @UWaterlooGSPA https://t.co/SLkRFwZr4P"
"2106","2651","://t.co/3CYF394nMw","242","Date","Tomorrow marks the beginning of two student-focused President's Town Hall events  for #UWaterloo undergraduate and graduate students. If you have questions on classes, campus access, research, co-op and more, be sure to register today: https://t.co/3CYF394nMw @UWaterlooGSPA https://t.co/SLkRFwZr4P"
"2107","2654","Harleen Kaur","96","Person","RT @UWaterlooPres : Thank you to our outstanding #UWaterlooSummit speakers @ericmigi, @a2cote, Harleen Kaur, the CEO and Co-Founder of @Ground_App, and our moderator @RandallLane, CCO and Editor @Forbes, for sharing your insights on innovation and entrepreneurship yesterday. https://t.co/27YpYeztst https://t.co/F36C25mdbB"
"2108","2654","yesterday","266","Date","RT @UWaterlooPres : Thank you to our outstanding #UWaterlooSummit speakers @ericmigi, @a2cote, Harleen Kaur, the CEO and Co-Founder of @Ground_App, and our moderator @RandallLane, CCO and Editor @Forbes, for sharing your insights on innovation and entrepreneurship yesterday. https://t.co/27YpYeztst https://t.co/F36C25mdbB"
"2109","2654","://t.co/F36C25mdbB","306","Date","RT @UWaterlooPres : Thank you to our outstanding #UWaterlooSummit speakers @ericmigi, @a2cote, Harleen Kaur, the CEO and Co-Founder of @Ground_App, and our moderator @RandallLane, CCO and Editor @Forbes, for sharing your insights on innovation and entrepreneurship yesterday. https://t.co/27YpYeztst https://t.co/F36C25mdbB"
"2110","2656","Monday","67","Date","@uwaterlooARTS @NewYorker @JamesDanckert Great article! Even on a Monday morning. ??"
"2111","2658","Nicholas Hui","46","Person","Rui Su and her co-founders Purya Sarmadi and Nicholas Hui have developed a product that is supporting pharmacists and earning funding across Canada and beyond. 

Learn more about the journey of @MedMeHealth: https://t.co/iNm7hhQl5z #UWaterloo #UWaterlooAlumni #MondayThoughts https://t.co/gVBv7Tyxq2"
"2112","2658","Canada","142","Location","Rui Su and her co-founders Purya Sarmadi and Nicholas Hui have developed a product that is supporting pharmacists and earning funding across Canada and beyond. 

Learn more about the journey of @MedMeHealth: https://t.co/iNm7hhQl5z #UWaterloo #UWaterlooAlumni #MondayThoughts https://t.co/gVBv7Tyxq2"
"2113","266","2021","151","Date","RT @uwaterlooARTS : We're excited - though not surprised! -  to see this psychology alumnus and author among @cbcbooks best Canadian picture books of 2021.

Congratulations, @nadialhohn! ??

@uwaterlooalumni @UWaterloo https://t.co/TnMrgR6L03"
"2114","2660","://t.co/2Vi9kuO6w9","259","Date","“The beauty of the co-op program is that you get people who are motivated, they’re super smart and they already have experience — they add value,” says  @mescortes, CTO and Co-founder of @faire_wholesale.
 
Read more: https://t.co/ehCp60CHlw #UWaterloo https://t.co/2Vi9kuO6w9"
"2115","2661","summer","91","Date","Municipal bylaws that limit when residents are permitted to water lawns and gardens every summer effectively reduce consumption only during particularly hot, dry periods, according to a new study.

Read more: https://t.co/O31RIJieDy #UWaterloo https://t.co/X7siks0xie"
"2116","2664","today","107","Date","If you have questions on #UWaterloo classes, campus access, research, co-op and more, be sure to register today for the @UWaterlooPres Virtual Town Hall: https://t.co/3CYF394nMw @UWaterlooGSPA https://t.co/XqljpBpNjw"
"2117","2664","://t.co/3CYF394nMw","160","Date","If you have questions on #UWaterloo classes, campus access, research, co-op and more, be sure to register today for the @UWaterlooPres Virtual Town Hall: https://t.co/3CYF394nMw @UWaterlooGSPA https://t.co/XqljpBpNjw"
"2118","2666","BA","85","Organization","RT @uwaterlooARTS : ICYMI, exciting news for #UWaterlooArts alumnus Richard Henkel (BA '15) and partners: $7.9 million in seed funding for @OdysseyCanada, a new game development studio right here in #KWAwesome. ????

@UWaterloo @uwaterlooalumni  https://t.co/IPYac7ZfVb"
"2119","2666","Richard Henkel","69","Person","RT @uwaterlooARTS : ICYMI, exciting news for #UWaterlooArts alumnus Richard Henkel (BA '15) and partners: $7.9 million in seed funding for @OdysseyCanada, a new game development studio right here in #KWAwesome. ????

@UWaterloo @uwaterlooalumni  https://t.co/IPYac7ZfVb"
"2120","2666","$7.9 million","107","Money","RT @uwaterlooARTS : ICYMI, exciting news for #UWaterlooArts alumnus Richard Henkel (BA '15) and partners: $7.9 million in seed funding for @OdysseyCanada, a new game development studio right here in #KWAwesome. ????

@UWaterloo @uwaterlooalumni  https://t.co/IPYac7ZfVb"
"2121","2667","Saturday","190","Date","RT @envwaterloo : Will the pandemic be the death of cities? Hear what experts from around the world have to say at ""Cities in the Age of COVID-19"", an Alumni Black and Gold Day panel talk, Saturday, September 26.?????

#ENVTogether #UWaterlooAlumni 
See more: https://t.co/cZuHFdz1mf https://t.co/aFygfeuQmc"
"2122","2667","September 26.?","200","Date","RT @envwaterloo : Will the pandemic be the death of cities? Hear what experts from around the world have to say at ""Cities in the Age of COVID-19"", an Alumni Black and Gold Day panel talk, Saturday, September 26.?????

#ENVTogether #UWaterlooAlumni 
See more: https://t.co/cZuHFdz1mf https://t.co/aFygfeuQmc"
"2123","2668","Ridhi Patel","85","Person","On our new episode of the @uwdailybulletin podcast, we chat with #UWaterloo student Ridhi Patel, who invented an online game called Quarantrivia to fight misinformation about #COVID19 and much more. 

Listen and subscribe: https://t.co/16ymkF790Z https://t.co/0XKcLMjoj0"
"2124","2669","2020","83","Date","Three engineers with deep ties to @WaterlooENG were among the contributors to the 2020 edition of Letters to a Young Engineer, an annual publication given to graduating engineering students. Read more: https://t.co/nGl4pCOtQi #UWaterloo https://t.co/hOJqihynSm"
"2125","267","Matthew Reyes","147","Person","RT @uwaterlooalumni : “…There are valuable insights and research coming out of this work already. I think we’re entering the cyberpunk era,” says Matthew Reyes (BMath ’19). Read more: 

#WednesdayWisdom #UWaterlooMagazine #UWaterlooAlumni  @WaterlooMath https://t.co/P12MNE0oFP"
"2126","2673","2011","77","Date","The iconic #UWaterloo sign is getting a new home. 

Designed by students in 2011, the sign has quickly become a popular spot for photos. The sign will be moved this Fall to a safer, more centrally located spot between the Arts Quad/Dana Porter/Grad House: https://t.co/uX1LNA72sB https://t.co/9X06F6vF5m"
"2127","2674","today","118","Date","Thank you to our #UWaterlooSummit moderator @RandallLane, CCO and Editor @Forbes, for leading a fantastic discussion today on the future of innovation with @ericmigi, @a2cote, and Harleen Kaur, the CEO and Co-Founder of @Ground_App. #UWaterloo https://t.co/doWPgx4xcg"
"2128","2675","Today","21","Date","RT @UWaterlooPres : Today I am announcing 8 commitments of action to address systemic racism at @UWaterloo. I am committed to action. Our University is committed to action and these are only the first steps of more to come in the weeks and months ahead. Read more: https://t.co/EwcWqUz7VW"
"2129","2676","October 24","70","Date","Due to #COVID19, we are hosting a virtual convocation celebration on October 24 to celebrate the achievements, hard work and dedication of each and every #UWaterlooGrad. ??

Learn about diploma distribution, virtual convocation details and more: https://t.co/yh8PKfTATl #UWaterloo https://t.co/oIEH02NMC5"
"2130","2677","://t.co/0W1VB52Ila","271","Date","RT @OntUniv : An indoor mapping technology developed by a @UWaterloo graduate has been adapted to help frontline workers who may be exposed to COVID-19 inside local hospitals and other health-care facilities within the community. 

#AMOConf20 #ONpoli 

Learn more: https://t.co/0W1VB52Ila https://t.co/PlVXnOIsGo"
"2131","2683","Summit","77","Location","RT @b_vandam : Enjoying the conversation this morning @UWaterloo Innovation Summit. @RandallLane is doing a fantastic job moderating the panel featuring @a2cote, @ericmigi, and Harleen Kaur from @Ground_app. #UWaterlooSummit"
"2132","2684","Harleen Kaur","115","Person","“One of the biggest trends we’re seeing is that the future of news is multi-source, which we see from data.” says Harleen Kaur, CEO and Co-founder of @ground_app, as we discuss news trends in our #UWaterlooSummit. #UWaterloo"
"2133","2685","today","138","Date","“You need to become a master of studying the economic landscape, what it will look like, and what customers are going to want and need – today, tomorrow and five years from now.” says @a2cote at our #UWaterlooSummit. #UWaterloo"
"2134","2685","tomorrow","145","Date","“You need to become a master of studying the economic landscape, what it will look like, and what customers are going to want and need – today, tomorrow and five years from now.” says @a2cote at our #UWaterlooSummit. #UWaterloo"
"2135","2688","University of Waterloo Innovation Summit","99","Organization","RT @Amy_L_Arsenault : I may be sitting in Halifax, but I’m excited to be attending this morning’s University of Waterloo Innovation Summit. #UWaterlooSummit #virtuallearning #leaninanywhere"
"2136","2688","Summit","133","Location","RT @Amy_L_Arsenault : I may be sitting in Halifax, but I’m excited to be attending this morning’s University of Waterloo Innovation Summit. #UWaterlooSummit #virtuallearning #leaninanywhere"
"2137","269","WISA","27","Organization","RT @WISA_UW : Join us for WISA Talks: Data Analytics &amp; Optimization on Thurs Jan 6 featuring a panel discussion between leading industry professionals at @NAVBLUE_aero, @navcanada, and @halldalegroup and @WaterlooENG researchers. 
Register now: https://t.co/4xrZywZyLl https://t.co/UyNRVLxZvT"
"2138","269","Data Analytics","39","Organization","RT @WISA_UW : Join us for WISA Talks: Data Analytics &amp; Optimization on Thurs Jan 6 featuring a panel discussion between leading industry professionals at @NAVBLUE_aero, @navcanada, and @halldalegroup and @WaterlooENG researchers. 
Register now: https://t.co/4xrZywZyLl https://t.co/UyNRVLxZvT"
"2139","269","Jan 6","82","Date","RT @WISA_UW : Join us for WISA Talks: Data Analytics &amp; Optimization on Thurs Jan 6 featuring a panel discussion between leading industry professionals at @NAVBLUE_aero, @navcanada, and @halldalegroup and @WaterlooENG researchers. 
Register now: https://t.co/4xrZywZyLl https://t.co/UyNRVLxZvT"
"2140","2690","Today","1","Date","Today, we welcome business, government and academic leaders from around the world to our second virtual #UWaterlooSummit. Moderated by @RandallLane, CCO and editor @Forbes, #UWaterloo experts will explore how we can reset, build and rebound the economy: https://t.co/x03tYIccf3 https://t.co/zfvTS1e4Ud"
"2141","2691","Randall Lane","107","Person","RT @uwaterlooalumni : Tomorrow, the #UWaterlooSummit is back with its next event!

Forbes Editor and CCO, Randall Lane, will moderate a fantastic lineup of panelists (including #UWaterlooAlumni) to explore innovation's role in the post-pandemic world.

Register: https://t.co/C2PYaGzd7k"
"2142","2691","Tomorrow","23","Date","RT @uwaterlooalumni : Tomorrow, the #UWaterlooSummit is back with its next event!

Forbes Editor and CCO, Randall Lane, will moderate a fantastic lineup of panelists (including #UWaterlooAlumni) to explore innovation's role in the post-pandemic world.

Register: https://t.co/C2PYaGzd7k"
"2143","2692","Zara Rafferty","133","Person","RT @uwaterloohealth : It's time for our final #AHSTeacherTuesday of the term! Find out how well you know @UWRecandLeisure Professor Zara Rafferty by answering her trivia questions: https://t.co/8HEZuNTZ0D https://t.co/KnBv8TpE5p"
"2144","2693","Aug 25","172","Date","RT @UWaterloo : Join @UWaterloo researchers, in partnership with @KitchLibrary, as we explore the short and long-term social and developmental consequences of #COVID19 on Aug 25 and how to navigate the effects. 

Register today: https://t.co/b3rzRFuAj8 #UWaterloo #UWaterlooCommunity https://t.co/beXlfSzD8z"
"2145","2693","today","223","Date","RT @UWaterloo : Join @UWaterloo researchers, in partnership with @KitchLibrary, as we explore the short and long-term social and developmental consequences of #COVID19 on Aug 25 and how to navigate the effects. 

Register today: https://t.co/b3rzRFuAj8 #UWaterloo #UWaterlooCommunity https://t.co/beXlfSzD8z"
"2146","2696","tomorrow","30","Date","Tomorrow is the day! Join us tomorrow as @RandallLane, CCO and editor @Forbes, leads an engaging panel discussion with experts and entrepreneurs on how innovation will help rebuild economic prosperity. 

Register today: https://t.co/x03tYIccf3 #UWaterloo #UWaterlooSummit #COVID19 https://t.co/EO4VMeGt0l"
"2147","2696","today","214","Date","Tomorrow is the day! Join us tomorrow as @RandallLane, CCO and editor @Forbes, leads an engaging panel discussion with experts and entrepreneurs on how innovation will help rebuild economic prosperity. 

Register today: https://t.co/x03tYIccf3 #UWaterloo #UWaterlooSummit #COVID19 https://t.co/EO4VMeGt0l"
"2148","2698","Aug 25","156","Date","Join @UWaterloo researchers, in partnership with @KitchLibrary, as we explore the short and long-term social and developmental consequences of #COVID19 on Aug 25 and how to navigate the effects. 

Register today: https://t.co/b3rzRFuAj8 #UWaterloo #UWaterlooCommunity https://t.co/beXlfSzD8z"
"2149","2698","today","207","Date","Join @UWaterloo researchers, in partnership with @KitchLibrary, as we explore the short and long-term social and developmental consequences of #COVID19 on Aug 25 and how to navigate the effects. 

Register today: https://t.co/b3rzRFuAj8 #UWaterloo #UWaterlooCommunity https://t.co/beXlfSzD8z"
"2150","270","Special Constable Service","19","Organization","Reminder from the Special Constable Service.

If you are leaving your office/residence unattended over the Holiday Season, take your valuables with you and ensure that all doors and windows are locked and secured prior to leaving for the break.

Read more: https://t.co/nCfxuMSuDV https://t.co/2zj5OJEnJs"
"2151","2700","://t.co/S0h563ymho","284","Date","RT @KitchLibrary : Just one more week until our free community lecture hosted in partnership with @UWaterloo 

Researchers from @uwaterlooARTS will share with us their thoughts on the developmental consequences of the current global pandemic.

Register: https://t.co/9ZOtnqF0tQ https://t.co/S0h563ymho"
"2152","2701","David Moscovitch","253","Person","RT @uwaterlooARTS : Here's a surprising thing about masks: they may actually be helping people with social anxiety. But there could be consequences when we stop wearing them. 

Interesting piece in @inversedotcom featuring @uwaterloo psychology expert David Moscovitch.
  https://t.co/KZqF78GpbH"
"2153","2702","Leslie Klein","86","Person","RT @uwaterlooalumni : C-COM, a satellite technology firm led by @WaterlooENG alumnus Leslie Klein (BASc '73), has recently secured government support to develop an exciting new project!

Learn more: https://t.co/nSrfMv6SjT

#UWaterlooAlumni"
"2154","2703","Kyle Piccolo","64","Person","RT @WaterlooSci : Learn about recent research from PhD student Kyle Piccolo, and Professor Deckmann's lab!
(Infographic based on this paper: https://t.co/iOIAWrUSvs) https://t.co/uU0Ydf645u"
"2155","2703","Deckmann","92","Person","RT @WaterlooSci : Learn about recent research from PhD student Kyle Piccolo, and Professor Deckmann's lab!
(Infographic based on this paper: https://t.co/iOIAWrUSvs) https://t.co/uU0Ydf645u"
"2156","2703","://t.co/uU0Ydf645u","172","Date","RT @WaterlooSci : Learn about recent research from PhD student Kyle Piccolo, and Professor Deckmann's lab!
(Infographic based on this paper: https://t.co/iOIAWrUSvs) https://t.co/uU0Ydf645u"
"2157","2705","Institute","10","Organization","RT @GamesInstitute : ""Will our kids be alright?"" @UWaterloo event features GI faculty member, Kristina Llewellyn (@krllewellyn), on a panel about the impact that the disruptions of 2020 will have on children &amp; their development. Register to join online, Aug. 25 at 7pm: https://t.co/sjkjy3CMbo"
"2158","2705","2020","182","Date","RT @GamesInstitute : ""Will our kids be alright?"" @UWaterloo event features GI faculty member, Kristina Llewellyn (@krllewellyn), on a panel about the impact that the disruptions of 2020 will have on children &amp; their development. Register to join online, Aug. 25 at 7pm: https://t.co/sjkjy3CMbo"
"2159","2706","://t.co/X97Ta1xd1W","237","Date","Tamara Van Staden spent her MSc work mapping the location of phosphorus in Southern Ontario. Now, the @WaterlooSci graduate is using science writing and stories to share her mapping and #SciComm passions through her blog @maps_tj! https://t.co/X97Ta1xd1W"
"2160","2706","Southern Ontario","76","Location","Tamara Van Staden spent her MSc work mapping the location of phosphorus in Southern Ontario. Now, the @WaterlooSci graduate is using science writing and stories to share her mapping and #SciComm passions through her blog @maps_tj! https://t.co/X97Ta1xd1W"
"2161","2707","today","96","Date","If you have questions on classes, campus access, research, co-op and more, be sure to register today for the @UWaterlooPres Virtual Town Hall: https://t.co/3CYF39lZb6 #UWaterloo @UWaterlooGSPA https://t.co/4a6iLGfRuO"
"2162","2707","://t.co/3CYF39lZb6","149","Date","If you have questions on classes, campus access, research, co-op and more, be sure to register today for the @UWaterlooPres Virtual Town Hall: https://t.co/3CYF39lZb6 #UWaterloo @UWaterlooGSPA https://t.co/4a6iLGfRuO"
"2163","2708","August 19","12","Date","Join us on August 19 with @RandallLane, @Forbes CCO and editor, @a2cote, executive director @UWVelocity, and other experts at the #UWaterlooSummit for an engaging panel discussion on how innovation will help rebuild economic prosperity. 

Register: https://t.co/x03tYIccf3 https://t.co/JHBlpavgDq"
"2164","2711","today","114","Date","RT @WaterlooMath : Hey #UWaterloo, know a professor or instructor that stepped up during #COVID19? Nominate them today. 
https://t.co/FcuUncIrU7"
"2165","2712","Brian Dixon","52","Person","On this episode of the #BeyondTheBulletin podcast, Brian Dixon, @WaterlooSci immunologist and biology professor, discusses pivoting his research focus from the fish we eat to the fight against #COVID19 and more. 

Listen and subscribe: https://t.co/fyGLOuRWhF @uwdailybulletin https://t.co/XzArHDs5sE"
"2166","2714","CIF","102","Organization","RT @WlooWarriors : We are excited to announce the next phase of our reopening plan with areas of the CIF &amp; the PAC Pool opening with many safety protocols in place.????

You must have a tap Watcard to enter &amp; a reservation is required.

@UWaterloo @yourWUSA @GSA_UWaterloo 

https://t.co/7qqZokAlkj"
"2167","2714","PAC Pool","116","Organization","RT @WlooWarriors : We are excited to announce the next phase of our reopening plan with areas of the CIF &amp; the PAC Pool opening with many safety protocols in place.????

You must have a tap Watcard to enter &amp; a reservation is required.

@UWaterloo @yourWUSA @GSA_UWaterloo 

https://t.co/7qqZokAlkj"
"2168","2717","Ryan","81","Person","While working from home, how can you remain productive? #UWaterlooCoop students Ryan and Lena share how music and personal hobbies have made them feel more productive and less overwhelmed while working from home.

Read more: https://t.co/pNgLaJpIIL #UWaterloo #workfromhome https://t.co/2Zm0RNFJ3X"
"2169","2717","Lena","90","Person","While working from home, how can you remain productive? #UWaterlooCoop students Ryan and Lena share how music and personal hobbies have made them feel more productive and less overwhelmed while working from home.

Read more: https://t.co/pNgLaJpIIL #UWaterloo #workfromhome https://t.co/2Zm0RNFJ3X"
"2170","2717","Lena","90","Location","While working from home, how can you remain productive? #UWaterlooCoop students Ryan and Lena share how music and personal hobbies have made them feel more productive and less overwhelmed while working from home.

Read more: https://t.co/pNgLaJpIIL #UWaterloo #workfromhome https://t.co/2Zm0RNFJ3X"
"2171","2718","Research","18","Organization","RT @QuantumIQC : Research being done by IQC researchers and companies like @evolutionQinc with the support of @csa_asc is vital to accomplishing satellite-based #quantum key distribution that will help secure communications from coast to coast. https://t.co/2cOpHTC1k9"
"2172","2719","Dani Thomas","81","Person","RT @uwaterlooalumni : What is it like to work in healthcare during a pandemic?

Dani Thomas (Rx ‘18), Fatimah Jaffer (PharmD ‘15), and Brad Murphy’s (PharmD ‘19) are three #UWaterlooAlumni from @UWPharmacy who shared their firsthand experiences.

Read their stories: https://t.co/1Z3REl4v18 https://t.co/Km7YeY7j37"
